Q0,detune,m_over_thr,m,gain_pct_mean,gain_pct_std,delta_growth_mean,delta_growth_std
600.0,1.0,1.1,0.0018333333333333335,12.3091655269891,5.173485177283355,0.09529403138651987,0.0153586862177017
600.0,1.0,1.4,0.0023333333333333335,19.865880990282015,7.844934459383308,0.15843985045055486,0.01883227557606948
600.0,1.0,1.8,0.003,33.0576042410311,12.683064504105387,0.265497722223261,0.023103744807372484
600.0,1.0,2.2,0.003666666666666667,50.16025624777811,19.417589547332383,0.3973906141242725,0.027060141147464856
600.0,1.02,0.7,0.0011666666666666668,2.0667253496375038,2.2237596073726853,-0.026689983001050965,0.008235365207983514
600.0,1.02,0.9,0.0015,2.64678261327684,2.889608904868094,-0.03451458145412628,0.010413273430330106
600.0,1.02,1.1,0.0018333333333333335,3.2232082167838403,3.5694621277875607,-0.04240750572062946,0.012506331780093416
600.0,1.02,1.4,0.0023333333333333335,4.082318631931792,4.616115218297347,-0.054350322108932925,0.015477266177093829
600.0,1.02,1.8,0.003,5.220715251990753,6.063450873423921,-0.07040623631202297,0.019098288585152334
600.0,1.02,2.2,0.003666666666666667,6.355811762287692,7.572548455188827,-0.08652495893489903,0.022290545877312995
